Nationality,count,age_mean,weak_foot_cleaned_mean,skill_moves_cleaned_mean,release_clause_cleaned_k_mean,potential_mean,overall_mean,int_rep_cleaned_mean,height_in_cm_mean,weight_in_lbs_mean,crossing_mean,finishing_mean,heading accuracy_mean,short passing_mean,volleys_mean,dribbling_mean,curve_mean,fk accuracy_mean,long passing_mean,ball control_mean,acceleration_mean,sprint speed_mean,agility_mean,reactions_mean,balance_mean,shot power_mean,jumping_mean,stamina_mean,strength_mean,long shots_mean,aggression_mean,interceptions_mean,positioning_mean,vision_mean,penalties_mean,composure_mean,defensive awareness_mean,standing tackle_mean,sliding tackle_mean,gk diving_mean,gk handling_mean,gk kicking_mean,gk positioning_mean,gk reflexes_mean,age_std_dev,weak_foot_cleaned_std_dev,skill_moves_cleaned_std_dev,release_clause_cleaned_k_std_dev,potential_std_dev,overall_std_dev,int_rep_cleaned_std_dev,height_in_cm_std_dev,weight_in_lbs_std_dev,crossing_std_dev,finishing_std_dev,heading accuracy_std_dev,short passing_std_dev,volleys_std_dev,dribbling_std_dev,curve_std_dev,fk accuracy_std_dev,long passing_std_dev,ball control_std_dev,acceleration_std_dev,sprint speed_std_dev,agility_std_dev,reactions_std_dev,balance_std_dev,shot power_std_dev,jumping_std_dev,stamina_std_dev,strength_std_dev,long shots_std_dev,aggression_std_dev,interceptions_std_dev,positioning_std_dev,vision_std_dev,penalties_std_dev,composure_std_dev,defensive awareness_std_dev,standing tackle_std_dev,sliding tackle_std_dev,gk diving_std_dev,gk handling_std_dev,gk kicking_std_dev,gk positioning_std_dev,gk reflexes_std_dev,age_qnt_low,weak_foot_cleaned_qnt_low,skill_moves_cleaned_qnt_low,release_clause_cleaned_k_qnt_low,potential_qnt_low,overall_qnt_low,int_rep_cleaned_qnt_low,height_in_cm_qnt_low,weight_in_lbs_qnt_low,crossing_qnt_low,finishing_qnt_low,heading accuracy_qnt_low,short passing_qnt_low,volleys_qnt_low,dribbling_qnt_low,curve_qnt_low,fk accuracy_qnt_low,long passing_qnt_low,ball control_qnt_low,acceleration_qnt_low,sprint speed_qnt_low,agility_qnt_low,reactions_qnt_low,balance_qnt_low,shot power_qnt_low,jumping_qnt_low,stamina_qnt_low,strength_qnt_low,long shots_qnt_low,aggression_qnt_low,interceptions_qnt_low,positioning_qnt_low,vision_qnt_low,penalties_qnt_low,composure_qnt_low,defensive awareness_qnt_low,standing tackle_qnt_low,sliding tackle_qnt_low,gk diving_qnt_low,gk handling_qnt_low,gk kicking_qnt_low,gk positioning_qnt_low,gk reflexes_qnt_low,age_qnt_high,weak_foot_cleaned_qnt_high,skill_moves_cleaned_qnt_high,release_clause_cleaned_k_qnt_high,potential_qnt_high,overall_qnt_high,int_rep_cleaned_qnt_high,height_in_cm_qnt_high,weight_in_lbs_qnt_high,crossing_qnt_high,finishing_qnt_high,heading accuracy_qnt_high,short passing_qnt_high,volleys_qnt_high,dribbling_qnt_high,curve_qnt_high,fk accuracy_qnt_high,long passing_qnt_high,ball control_qnt_high,acceleration_qnt_high,sprint speed_qnt_high,agility_qnt_high,reactions_qnt_high,balance_qnt_high,shot power_qnt_high,jumping_qnt_high,stamina_qnt_high,strength_qnt_high,long shots_qnt_high,aggression_qnt_high,interceptions_qnt_high,positioning_qnt_high,vision_qnt_high,penalties_qnt_high,composure_qnt_high,defensive awareness_qnt_high,standing tackle_qnt_high,sliding tackle_qnt_high,gk diving_qnt_high,gk handling_qnt_high,gk kicking_qnt_high,gk positioning_qnt_high,gk reflexes_qnt_high
Italy,609,26.0,3.0,2.0,5476.0,73.0,68.0,1.0,182.0,167.0,56.0,50.0,59.0,64.0,50.0,63.0,54.0,49.0,58.0,65.0,64.0,63.0,62.0,64.0,64.0,62.0,61.0,61.0,61.0,53.0,59.0,51.0,56.0,55.0,55.0,59.0,42.0,53.0,50.0,68.0,65.0,61.0,66.0,68.0,6.0,1.0,1.0,14883.0,6.0,7.0,1.0,6.0,13.0,16.0,19.0,13.0,13.0,18.0,14.0,18.0,17.0,15.0,15.0,17.0,18.0,19.0,12.0,17.0,15.0,18.0,16.0,17.0,17.0,15.0,22.0,18.0,18.0,15.0,20.0,28.0,22.0,23.0,9.0,11.0,8.0,10.0,12.0,21.0,3.0,2.0,228.0,69.0,63.0,1.0,178.0,159.0,47.0,34.0,52.0,58.0,37.0,58.0,43.0,36.0,48.0,60.0,58.0,56.0,56.0,60.0,58.0,55.0,55.0,55.0,54.0,44.0,50.0,30.0,48.0,46.0,45.0,55.0,20.0,34.0,30.0,62.0,59.0,56.0,58.0,62.0,30.0,3.0,3.0,3600.0,77.0,73.0,2.0,188.0,176.0,68.0,64.0,68.0,73.0,64.0,72.0,68.0,61.0,68.0,74.0,74.0,73.0,72.0,71.0,74.0,72.0,72.0,71.0,72.0,67.0,70.0,68.0,69.0,67.0,65.0,71.0,65.0,70.0,68.0,72.0,71.0,66.0,73.0,75.0
Japan,336,25.0,3.0,2.0,1871.0,70.0,65.0,1.0,177.0,158.0,57.0,51.0,53.0,64.0,47.0,61.0,51.0,47.0,58.0,64.0,68.0,67.0,68.0,61.0,69.0,58.0,66.0,66.0,63.0,51.0,56.0,49.0,57.0,57.0,49.0,59.0,47.0,51.0,48.0,63.0,61.0,60.0,61.0,64.0,5.0,1.0,1.0,3300.0,5.0,5.0,0.0,7.0,15.0,12.0,16.0,12.0,8.0,15.0,11.0,15.0,15.0,11.0,9.0,14.0,13.0,13.0,8.0,12.0,12.0,13.0,14.0,13.0,15.0,12.0,18.0,13.0,12.0,12.0,9.0,19.0,17.0,17.0,5.0,6.0,6.0,7.0,6.0,21.0,3.0,2.0,586.0,66.0,62.0,1.0,173.0,148.0,49.0,36.0,45.0,60.0,36.0,57.0,38.0,34.0,53.0,60.0,64.0,63.0,62.0,57.0,63.0,50.0,60.0,59.0,56.0,39.0,49.0,32.0,50.0,50.0,40.0,53.0,31.0,36.0,32.0,59.0,56.0,56.0,58.0,60.0,29.0,4.0,3.0,2100.0,73.0,69.0,1.0,183.0,165.0,65.0,64.0,63.0,68.0,59.0,68.0,63.0,60.0,65.0,68.0,76.0,75.0,75.0,67.0,77.0,66.0,75.0,75.0,72.0,64.0,65.0,64.0,66.0,66.0,60.0,66.0,63.0,65.0,62.0,67.0,65.0,63.0,66.0,69.0
Korea,167,26.0,3.0,2.0,3042.0,69.0,65.0,1.0,181.0,164.0,53.0,51.0,57.0,63.0,45.0,61.0,49.0,46.0,55.0,63.0,68.0,69.0,68.0,62.0,67.0,57.0,65.0,68.0,66.0,52.0,58.0,50.0,59.0,59.0,51.0,57.0,46.0,49.0,45.0,61.0,58.0,58.0,60.0,63.0,5.0,1.0,1.0,16293.0,5.0,7.0,0.0,6.0,15.0,15.0,17.0,12.0,9.0,16.0,11.0,17.0,16.0,13.0,9.0,13.0,13.0,15.0,8.0,14.0,14.0,13.0,12.0,11.0,14.0,12.0,17.0,13.0,13.0,13.0,15.0,20.0,18.0,18.0,16.0,15.0,15.0,16.0,17.0,22.0,3.0,2.0,359.0,66.0,61.0,1.0,175.0,154.0,46.0,38.0,49.0,58.0,32.0,56.0,37.0,32.0,51.0,59.0,62.0,62.0,61.0,60.0,61.0,48.0,58.0,62.0,59.0,45.0,52.0,36.0,55.0,52.0,42.0,53.0,32.0,34.0,31.0,60.0,56.0,55.0,56.0,60.0,30.0,4.0,3.0,2100.0,72.0,70.0,1.0,185.0,172.0,64.0,62.0,65.0,68.0,56.0,67.0,64.0,58.0,64.0,68.0,76.0,76.0,76.0,67.0,76.0,66.0,72.0,75.0,73.0,62.0,66.0,64.0,68.0,67.0,60.0,66.0,63.0,64.0,61.0,70.0,66.0,62.0,70.0,72.0
Latvia,8,25.0,3.0,2.0,1435.0,68.0,63.0,1.0,184.0,173.0,46.0,57.0,60.0,59.0,54.0,58.0,45.0,41.0,51.0,64.0,67.0,66.0,60.0,61.0,60.0,64.0,73.0,69.0,71.0,56.0,61.0,38.0,58.0,55.0,58.0,58.0,25.0,38.0,37.0,64.0,61.0,60.0,56.0,62.0,5.0,1.0,0.0,2236.0,3.0,7.0,0.0,8.0,15.0,11.0,12.0,13.0,7.0,14.0,8.0,14.0,12.0,9.0,5.0,15.0,14.0,18.0,10.0,12.0,13.0,6.0,6.0,19.0,12.0,12.0,18.0,17.0,7.0,12.0,9.0,24.0,22.0,22.0,5.0,7.0,8.0,17.0,11.0,21.0,2.0,2.0,258.0,67.0,60.0,1.0,179.0,164.0,38.0,49.0,50.0,56.0,46.0,56.0,34.0,33.0,46.0,60.0,60.0,57.0,49.0,55.0,50.0,54.0,72.0,65.0,68.0,47.0,56.0,26.0,53.0,52.0,50.0,54.0,6.0,26.0,21.0,62.0,58.0,57.0,50.0,59.0,28.0,3.0,2.0,1350.0,70.0,68.0,1.0,188.0,179.0,51.0,64.0,72.0,62.0,56.0,64.0,52.0,45.0,56.0,67.0,76.0,76.0,72.0,67.0,70.0,74.0,76.0,74.0,78.0,66.0,66.0,53.0,68.0,55.0,64.0,65.0,33.0,56.0,54.0,65.0,64.0,62.0,62.0,66.0
Lithuania,7,27.0,3.0,2.0,1035.0,67.0,65.0,1.0,186.0,178.0,50.0,49.0,46.0,54.0,45.0,51.0,50.0,42.0,47.0,53.0,64.0,60.0,58.0,53.0,63.0,56.0,60.0,62.0,74.0,52.0,59.0,46.0,49.0,49.0,46.0,43.0,40.0,31.0,39.0,62.0,60.0,58.0,59.0,64.0,4.0,1.0,1.0,895.0,4.0,5.0,0.0,6.0,9.0,27.0,26.0,25.0,27.0,25.0,26.0,26.0,23.0,25.0,27.0,20.0,31.0,31.0,27.0,17.0,28.0,31.0,17.0,12.0,26.0,17.0,21.0,25.0,25.0,24.0,34.0,25.0,29.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,3.0,2.0,484.0,64.0,62.0,1.0,180.0,170.0,46.0,47.0,42.0,60.0,39.0,57.0,48.0,40.0,47.0,58.0,54.0,58.0,60.0,58.0,59.0,59.0,60.0,61.0,64.0,57.0,49.0,35.0,52.0,55.0,47.0,14.0,28.0,13.0,16.0,62.0,60.0,58.0,59.0,64.0,30.0,4.0,3.0,1350.0,70.0,68.0,1.0,190.0,185.0,66.0,64.0,62.0,67.0,64.0,64.0,66.0,57.0,61.0,66.0,73.0,77.0,73.0,66.0,71.0,70.0,77.0,71.0,83.0,64.0,68.0,58.0,62.0,61.0,60.0,64.0,57.0,48.0,61.0,62.0,60.0,58.0,59.0,64.0
Luxembourg,10,25.0,3.0,3.0,2890.0,72.0,68.0,1.0,182.0,167.0,59.0,46.0,56.0,68.0,46.0,65.0,53.0,52.0,64.0,66.0,64.0,66.0,67.0,64.0,67.0,63.0,62.0,74.0,66.0,50.0,67.0,56.0,53.0,56.0,50.0,62.0,56.0,59.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,1.0,2179.0,4.0,3.0,0.0,6.0,13.0,14.0,17.0,13.0,4.0,15.0,10.0,14.0,15.0,6.0,5.0,14.0,15.0,13.0,4.0,12.0,12.0,12.0,9.0,18.0,14.0,8.0,13.0,14.0,12.0,14.0,4.0,14.0,17.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,3.0,2.0,1300.0,70.0,65.0,1.0,175.0,156.0,56.0,38.0,49.0,65.0,40.0,63.0,43.0,41.0,61.0,62.0,58.0,64.0,56.0,62.0,56.0,59.0,60.0,66.0,58.0,47.0,66.0,47.0,48.0,55.0,44.0,59.0,42.0,51.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,3.0,3.0,3825.0,75.0,70.0,1.0,187.0,178.0,68.0,57.0,64.0,70.0,55.0,69.0,65.0,64.0,68.0,68.0,72.0,72.0,75.0,68.0,72.0,72.0,71.0,80.0,76.0,57.0,72.0,66.0,60.0,65.0,61.0,66.0,68.0,67.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mexico,438,24.0,3.0,2.0,3194.0,72.0,65.0,1.0,177.0,159.0,55.0,49.0,57.0,63.0,46.0,61.0,51.0,46.0,58.0,63.0,66.0,66.0,64.0,60.0,67.0,60.0,63.0,64.0,61.0,51.0,57.0,50.0,54.0,54.0,55.0,55.0,41.0,53.0,52.0,65.0,62.0,62.0,63.0,66.0,5.0,1.0,1.0,7734.0,5.0,6.0,0.0,6.0,16.0,14.0,15.0,11.0,11.0,13.0,13.0,15.0,13.0,12.0,11.0,13.0,13.0,14.0,10.0,14.0,13.0,13.0,13.0,14.0,15.0,15.0,18.0,14.0,14.0,11.0,17.0,25.0,17.0,18.0,8.0,8.0,6.0,10.0,8.0,20.0,3.0,2.0,421.0,68.0,60.0,1.0,173.0,148.0,48.0,37.0,51.0,59.0,37.0,56.0,41.0,38.0,52.0,58.0,61.0,61.0,57.0,56.0,62.0,55.0,58.0,58.0,55.0,41.0,49.0,36.0,48.0,47.0,48.0,49.0,21.0,39.0,37.0,60.0,58.0,58.0,55.0,62.0,28.0,3.0,3.0,2775.0,75.0,70.0,1.0,183.0,170.0,65.0,62.0,64.0,69.0,55.0,68.0,62.0,55.0,66.0,69.0,74.0,73.0,74.0,66.0,76.0,68.0,71.0,72.0,70.0,62.0,67.0,64.0,63.0,64.0,63.0,65.0,62.0,67.0,65.0,70.0,68.0,65.0,70.0,72.0
Netherlands,461,24.0,3.0,2.0,6886.0,74.0,68.0,1.0,183.0,167.0,56.0,52.0,59.0,65.0,49.0,64.0,54.0,50.0,60.0,67.0,67.0,68.0,64.0,64.0,63.0,65.0,63.0,66.0,67.0,54.0,61.0,52.0,57.0,57.0,55.0,60.0,46.0,53.0,50.0,65.0,64.0,62.0,63.0,66.0,5.0,1.0,1.0,20013.0,6.0,7.0,1.0,7.0,15.0,15.0,17.0,13.0,10.0,17.0,12.0,18.0,16.0,12.0,11.0,14.0,14.0,16.0,11.0,17.0,13.0,16.0,13.0,13.0,16.0,15.0,19.0,15.0,16.0,13.0,18.0,25.0,19.0,21.0,8.0,7.0,9.0,8.0,7.0,20.0,3.0,2.0,701.0,70.0,63.0,1.0,178.0,154.0,46.0,39.0,52.0,60.0,36.0,59.0,44.0,37.0,53.0,63.0,62.0,63.0,57.0,58.0,59.0,58.0,57.0,59.0,60.0,43.0,53.0,34.0,50.0,52.0,45.0,56.0,29.0,37.0,30.0,60.0,59.0,57.0,57.0,61.0,27.0,3.0,3.0,4300.0,78.0,72.0,1.0,188.0,176.0,67.0,64.0,68.0,71.0,60.0,71.0,67.0,63.0,68.0,73.0,76.0,76.0,74.0,71.0,74.0,74.0,73.0,74.0,75.0,66.0,72.0,68.0,67.0,68.0,63.0,69.0,66.0,68.0,66.0,70.0,67.0,68.0,68.0,72.0
New Zealand,40,24.0,3.0,2.0,1700.0,68.0,62.0,1.0,183.0,170.0,50.0,51.0,55.0,57.0,44.0,56.0,49.0,45.0,53.0,59.0,65.0,66.0,63.0,59.0,64.0,55.0,63.0,65.0,67.0,49.0,60.0,49.0,56.0,56.0,52.0,54.0,45.0,48.0,45.0,64.0,60.0,58.0,61.0,65.0,4.0,1.0,1.0,3732.0,6.0,6.0,0.0,7.0,18.0,12.0,14.0,11.0,11.0,13.0,13.0,15.0,15.0,13.0,8.0,15.0,15.0,11.0,7.0,12.0,14.0,14.0,16.0,11.0,13.0,11.0,16.0,10.0,10.0,11.0,17.0,20.0,17.0,18.0,6.0,4.0,2.0,4.0,5.0,21.0,2.0,2.0,173.0,64.0,58.0,1.0,178.0,158.0,41.0,42.0,48.0,50.0,36.0,53.0,33.0,32.0,44.0,55.0,61.0,61.0,56.0,54.0,54.0,51.0,58.0,62.0,60.0,40.0,53.0,41.0,47.0,50.0,42.0,51.0,36.0,38.0,28.0,60.0,58.0,58.0,58.0,61.0,26.0,3.0,3.0,1200.0,71.0,65.0,1.0,188.0,181.0,59.0,60.0,61.0,64.0,53.0,62.0,64.0,59.0,60.0,62.0,74.0,70.0,72.0,62.0,73.0,65.0,70.0,74.0,74.0,58.0,69.0,61.0,62.0,63.0,58.0,63.0,59.0,60.0,58.0,68.0,62.0,59.0,64.0,68.0
Norway,259,23.0,3.0,2.0,3161.0,72.0,64.0,1.0,182.0,166.0,53.0,50.0,54.0,60.0,46.0,59.0,53.0,46.0,54.0,62.0,68.0,68.0,66.0,60.0,67.0,59.0,66.0,68.0,65.0,50.0,59.0,51.0,56.0,56.0,49.0,59.0,48.0,51.0,49.0,63.0,61.0,60.0,61.0,64.0,5.0,1.0,1.0,14865.0,6.0,7.0,0.0,6.0,16.0,13.0,15.0,12.0,11.0,14.0,12.0,14.0,14.0,13.0,10.0,12.0,11.0,13.0,10.0,12.0,13.0,12.0,13.0,15.0,15.0,14.0,17.0,13.0,12.0,11.0,13.0,18.0,17.0,17.0,8.0,7.0,7.0,9.0,9.0,19.0,2.0,2.0,460.0,68.0,60.0,1.0,178.0,154.0,44.0,39.0,47.0,56.0,38.0,55.0,44.0,33.0,46.0,57.0,63.0,63.0,59.0,56.0,59.0,52.0,59.0,61.0,57.0,40.0,50.0,40.0,48.0,48.0,42.0,54.0,39.0,40.0,37.0,58.0,57.0,56.0,54.0,58.0,27.0,3.0,3.0,2500.0,75.0,69.0,1.0,188.0,176.0,63.0,61.0,62.0,66.0,55.0,67.0,64.0,57.0,63.0,68.0,76.0,76.0,74.0,67.0,74.0,69.0,73.0,77.0,75.0,62.0,68.0,65.0,65.0,64.0,57.0,67.0,61.0,64.0,62.0,67.0,65.0,64.0,66.0,70.0
Poland,250,24.0,3.0,2.0,3572.0,71.0,64.0,1.0,183.0,168.0,52.0,50.0,55.0,61.0,46.0,58.0,50.0,44.0,54.0,61.0,69.0,68.0,65.0,60.0,65.0,58.0,66.0,66.0,66.0,50.0,57.0,49.0,55.0,56.0,50.0,57.0,45.0,50.0,48.0,65.0,61.0,58.0,61.0,66.0,5.0,1.0,1.0,14823.0,6.0,7.0,0.0,6.0,14.0,13.0,16.0,11.0,10.0,13.0,11.0,13.0,15.0,12.0,10.0,12.0,13.0,12.0,10.0,12.0,13.0,11.0,12.0,12.0,15.0,15.0,19.0,13.0,12.0,12.0,14.0,21.0,19.0,18.0,9.0,9.0,7.0,11.0,9.0,20.0,2.0,2.0,408.0,67.0,60.0,1.0,178.0,159.0,43.0,38.0,47.0,56.0,36.0,54.0,41.0,32.0,46.0,56.0,64.0,63.0,59.0,55.0,59.0,52.0,59.0,60.0,58.0,39.0,49.0,32.0,48.0,47.0,40.0,49.0,32.0,35.0,33.0,59.0,55.0,54.0,52.0,59.0,27.0,3.0,3.0,2400.0,75.0,69.0,1.0,188.0,176.0,62.0,61.0,63.0,66.0,54.0,66.0,60.0,52.0,64.0,67.0,76.0,75.0,73.0,65.0,73.0,67.0,72.0,74.0,74.0,62.0,67.0,64.0,63.0,64.0,59.0,65.0,61.0,65.0,63.0,70.0,65.0,63.0,68.0,70.0
Portugal,369,25.0,3.0,3.0,11013.0,75.0,70.0,1.0,181.0,164.0,59.0,53.0,59.0,66.0,52.0,66.0,59.0,50.0,60.0,68.0,69.0,68.0,67.0,68.0,68.0,67.0,64.0,66.0,64.0,56.0,64.0,54.0,59.0,60.0,57.0,64.0,47.0,55.0,51.0,68.0,66.0,62.0,67.0,69.0,5.0,1.0,1.0,25088.0,6.0,7.0,1.0,7.0,16.0,16.0,17.0,12.0,12.0,16.0,14.0,18.0,16.0,13.0,11.0,13.0,13.0,16.0,10.0,15.0,13.0,15.0,14.0,14.0,17.0,14.0,19.0,17.0,15.0,13.0,18.0,25.0,20.0,21.0,8.0,7.0,6.0,8.0,8.0,21.0,3.0,2.0,1100.0,71.0,66.0,1.0,175.0,152.0,49.0,40.0,52.0,62.0,40.0,61.0,48.0,37.0,52.0,64.0,63.0,64.0,60.0,63.0,60.0,59.0,58.0,60.0,56.0,44.0,56.0,38.0,52.0,50.0,47.0,60.0,28.0,37.0,33.0,63.0,62.0,57.0,61.0,64.0,29.0,3.0,3.0,8500.0,79.0,74.0,1.0,185.0,176.0,71.0,65.0,69.0,73.0,65.0,75.0,72.0,64.0,69.0,75.0,77.0,76.0,77.0,73.0,77.0,76.0,73.0,74.0,75.0,69.0,74.0,69.0,70.0,71.0,67.0,74.0,68.0,71.0,68.0,74.0,70.0,65.0,72.0,75.0
