YearwAreawArea CodewElementwBovine MeatwMeatwMeat, OtherwMutton & Goat MeatwPigmeatwPoultry MeatwAll
Allwwww15130799.0w53391936.0w1291697.0w2724082.0w19839852.0w14407368.0w106785734.0
1980wAfricaw5100wImport Quantityw197.0w318.0w8.0w17.0w12.0w84.0w636.0
1980wAfricaw5100wProductionw3039.0w6212.0w774.0w1092.0w306.0w1001.0w12424.0
1981wAfricaw5100wExport Quantityw86.0w114.0w16.0w1.0w1.0w11.0w229.0
1981wAfricaw5100wImport Quantityw262.0w411.0w10.0w16.0w11.0w114.0w824.0
1981wAfricaw5100wProductionw3003.0w6310.0w800.0w1121.0w325.0w1061.0w12620.0
1982wAfricaw5100wExport Quantityw83.0w102.0w9.0w1.0w2.0w8.0w205.0
1982wAfricaw5100wImport Quantityw272.0w393.0w12.0w18.0w10.0w81.0w786.0
1982wAfricaw5100wProductionw3143.0w6566.0w838.0w1108.0w337.0w1140.0w13132.0
1983wAfricaw5100wExport Quantityw102.0w118.0w5.0w1.0w3.0w8.0w237.0
1983wAfricaw5100wImport Quantityw285.0w416.0w12.0w21.0w12.0w87.0w833.0
1983wAfricaw5100wProductionw3209.0w6792.0w863.0w1126.0w344.0w1249.0w13583.0
1984wAfricaw5100wExport Quantityw110.0w121.0w4.0w2.0w2.0w3.0w242.0
1984wAfricaw5100wImport Quantityw332.0w473.0w8.0w20.0w16.0w99.0w948.0
1984wAfricaw5100wProductionw3294.0w7019.0w886.0w1137.0w363.0w1338.0w14037.0
1985wAfricaw5100wExport Quantityw102.0w112.0w4.0w1.0w2.0w2.0w223.0
1985wAfricaw5100wImport Quantityw302.0w444.0w13.0w21.0w17.0w90.0w887.0
1985wAfricaw5100wProductionw3334.0w7195.0w904.0w1166.0w379.0w1412.0w14390.0
1986wAfricaw5100wExport Quantityw92.0w102.0w5.0w1.0w2.0w2.0w204.0
1986wAfricaw5100wImport Quantityw367.0w500.0w12.0w22.0w16.0w84.0w1001.0
1986wAfricaw5100wProductionw3231.0w7227.0w922.0w1165.0w408.0w1501.0w14454.0
1987wAfricaw5100wExport Quantityw90.0w102.0w6.0w1.0w2.0w2.0w203.0
1987wAfricaw5100wImport Quantityw343.0w521.0w17.0w12.0w20.0w129.0w1042.0
1987wAfricaw5100wProductionw3151.0w7353.0w932.0w1246.0w446.0w1576.0w14704.0
1988wAfricaw5100wExport Quantityw74.0w81.0w3.0w1.0w2.0w2.0w163.0
1988wAfricaw5100wImport Quantityw365.0w529.0w9.0w18.0w22.0w115.0w1058.0
1988wAfricaw5100wProductionw3161.0w7509.0w956.0w1335.0w465.0w1592.0w15018.0
1989wAfricaw5100wExport Quantityw71.0w76.0w2.0w1.0w1.0w1.0w152.0
1989wAfricaw5100wImport Quantityw302.0w435.0w10.0w11.0w24.0w87.0w869.0
1989wAfricaw5100wProductionw3234.0w7791.0w984.0w1402.0w518.0w1653.0w15582.0
1990wAfricaw5100wExport Quantityw71.0w83.0w4.0w2.0w3.0w4.0w167.0
1990wAfricaw5100wImport Quantityw304.0w424.0w4.0w13.0w20.0w83.0w848.0
1990wAfricaw5100wProductionw3366.0w8185.0w995.0w1423.0w542.0w1859.0w16370.0
1991wAfricaw5100wExport Quantityw77.0w90.0w4.0w4.0w2.0w3.0w180.0
1991wAfricaw5100wImport Quantityw333.0w464.0w5.0w10.0w23.0w92.0w927.0
1991wAfricaw5100wProductionw3553.0w8421.0w1012.0w1464.0w528.0w1866.0w16844.0
1992wAfricaw5100wExport Quantityw86.0w104.0w5.0w6.0w3.0w4.0w208.0
1992wAfricaw5100wImport Quantityw365.0w544.0w5.0w22.0w24.0w128.0w1088.0
1992wAfricaw5100wProductionw3626.0w8648.0w1040.0w1515.0w562.0w1906.0w17297.0
1993wAfricaw5100wExport Quantityw114.0w143.0w8.0w9.0w3.0w9.0w286.0
1993wAfricaw5100wImport Quantityw368.0w516.0w4.0w13.0w28.0w102.0w1031.0
1993wAfricaw5100wProductionw3649.0w8619.0w1017.0w1477.0w557.0w1919.0w17238.0
1994wAfricaw5100wExport Quantityw107.0w129.0w7.0w5.0w3.0w6.0w257.0
1994wAfricaw5100wImport Quantityw372.0w602.0w47.0w15.0w35.0w133.0w1204.0
1994wAfricaw5100wProductionw3546.0w8732.0w1062.0w1539.0w567.0w2019.0w17465.0
1995wAfricaw5100wExport Quantityw130.0w154.0w10.0w7.0w4.0w3.0w308.0
1995wAfricaw5100wImport Quantityw358.0w628.0w23.0w19.0w47.0w181.0w1256.0
1995wAfricaw5100wProductionw3490.0w9042.0w1088.0w1608.0w708.0w2148.0w18084.0
1996wAfricaw5100wExport Quantityw111.0w147.0w13.0w13.0w6.0w3.0w293.0
1996wAfricaw5100wImport Quantityw282.0w515.0w6.0w40.0w51.0w136.0w1030.0
1996wAfricaw5100wProductionw3618.0w9349.0w1109.0w1626.0w715.0w2280.0w18697.0
1997wAfricaw5100wExport Quantityw94.0w134.0w16.0w10.0w7.0w7.0w268.0
1997wAfricaw5100wImport Quantityw289.0w609.0w11.0w47.0w52.0w210.0w1218.0
1997wAfricaw5100wProductionw3732.0w9836.0w1157.0w1730.0w734.0w2483.0w19672.0
1998wAfricaw5100wExport Quantityw103.0w158.0w20.0w14.0w7.0w13.0w315.0
1998wAfricaw5100wImport Quantityw246.0w581.0w11.0w48.0w66.0w211.0w1163.0
1998wAfricaw5100wProductionw3828.0w10019.0w1142.0w1816.0w721.0w2511.0w20037.0
1999wAfricaw5100wExport Quantityw86.0w127.0w15.0w10.0w6.0w10.0w254.0
1999wAfricaw5100wImport Quantityw270.0w658.0w16.0w52.0w60.0w260.0w1316.0
1999wAfricaw5100wProductionw4021.0w10502.0w1179.0w1932.0w731.0w2638.0w21003.0
2000wAfricaw5100wExport Quantityw82.0w132.0w18.0w9.0w10.0w14.0w265.0
2000wAfricaw5100wImport Quantityw297.0w750.0w11.0w71.0w62.0w309.0w1500.0
2000wAfricaw5100wProductionw4202.0w10929.0w1196.0w2003.0w728.0w2800.0w21858.0
2001wAfricaw5100wExport Quantityw65.0w124.0w24.0w12.0w3.0w20.0w248.0
2001wAfricaw5100wImport Quantityw178.0w551.0w14.0w49.0w57.0w252.0w1101.0
2001wAfricaw5100wProductionw4028.0w11078.0w1228.0w2067.0w747.0w3007.0w22155.0
2002wAfricaw5100wExport Quantityw54.0w123.0w23.0w16.0w8.0w23.0w247.0
2002wAfricaw5100wImport Quantityw252.0w736.0w22.0w29.0w62.0w371.0w1472.0
2002wAfricaw5100wProductionw4289.0w11529.0w1254.0w2112.0w778.0w3096.0w23058.0
2003wAfricaw5100wExport Quantityw59.0w116.0w18.0w19.0w7.0w13.0w232.0
2003wAfricaw5100wImport Quantityw292.0w935.0w24.0w28.0w79.0w513.0w1871.0
2003wAfricaw5100wProductionw4413.0w11799.0w1287.0w2150.0w780.0w3169.0w23598.0
2004wAfricaw5100wExport Quantityw63.0w106.0w10.0w13.0w9.0w11.0w212.0
2004wAfricaw5100wImport Quantityw386.0w1063.0w10.0w41.0w99.0w527.0w2126.0
2004wAfricaw5100wProductionw4553.0w12168.0w1326.0w2197.0w843.0w3249.0w24336.0
2005wAfricaw5100wExport Quantityw51.0w99.0w15.0w17.0w7.0w9.0w198.0
2005wAfricaw5100wImport Quantityw475.0w1173.0w9.0w52.0w102.0w535.0w2346.0
2005wAfricaw5100wProductionw4813.0w12737.0w1342.0w2322.0w898.0w3361.0w25473.0
2006wAfricaw5100wExport Quantityw44.0w93.0w18.0w17.0w7.0w8.0w187.0
2006wAfricaw5100wImport Quantityw548.0w1376.0w18.0w62.0w110.0w639.0w2753.0
2006wAfricaw5100wProductionw5042.0w13142.0w1350.0w2390.0w911.0w3451.0w26286.0
2007wAfricaw5100wExport Quantityw79.0w130.0w19.0w13.0w7.0w12.0w260.0
2007wAfricaw5100wImport Quantityw603.0w1506.0w12.0w59.0w129.0w702.0w3011.0
2007wAfricaw5100wProductionw5177.0w13925.0w1438.0w2455.0w1029.0w3826.0w27850.0
2008wAfricaw5100wExport Quantityw60.0w114.0w18.0w14.0w10.0w12.0w228.0
2008wAfricaw5100wImport Quantityw328.0w1281.0w12.0w60.0w134.0w745.0w2560.0
2008wAfricaw5100wProductionw5408.0w14704.0w1504.0w2555.0w1143.0w4093.0w29407.0
2009wAfricaw5100wExport Quantityw60.0w166.0w27.0w14.0w8.0w57.0w332.0
2009wAfricaw5100wImport Quantityw338.0w1400.0w14.0w33.0w148.0w867.0w2800.0
2009wAfricaw5100wProductionw5475.0w15118.0w1544.0w2625.0w1174.0w4300.0w30236.0
2010wAfricaw5100wExport Quantityw79.0w207.0w21.0w21.0w8.0w78.0w414.0
2010wAfricaw5100wImport Quantityw361.0w1635.0w15.0w29.0w149.0w1081.0w3270.0
2010wAfricaw5100wProductionw5604.0w15663.0w1644.0w2676.0w1087.0w4652.0w31326.0
2011wAfricaw5100wExport Quantityw48.0w118.0w19.0w25.0w7.0w20.0w237.0
2011wAfricaw5100wImport Quantityw395.0w1905.0w13.0w24.0w196.0w1277.0w3810.0
2011wAfricaw5100wProductionw5699.0w16068.0w1669.0w2763.0w1135.0w4800.0w32134.0
2012wAfricaw5100wExport Quantityw70.0w150.0w22.0w31.0w7.0w20.0w300.0
2012wAfricaw5100wImport Quantityw449.0w2162.0w14.0w26.0w216.0w1457.0w4324.0
2012wAfricaw5100wProductionw5686.0w16163.0w1684.0w2698.0w1185.0w4911.0w32327.0
2013wAfricaw5100wExport Quantityw109.0w259.0w24.0w34.0w30.0w62.0w518.0
2013wAfricaw5100wImport Quantityw508.0w2282.0w9.0w33.0w244.0w1487.0w4563.0
2013wAfricaw5100wProductionw5907.0w16922.0w1700.0w2768.0w1254.0w5293.0w33844.0
2014wAfricaw5100wExport Quantityw107.0w269.0w19.0w31.0w32.0w79.0w537.0
2014wAfricaw5100wImport Quantityw430.0w2274.0w5.0w32.0w297.0w1509.0w4547.0
2014wAfricaw5100wProductionw6337.0w17437.0w1522.0w2878.0w1291.0w5409.0w34874.0
2015wAfricaw5100wExport Quantityw146.0w315.0w22.0w32.0w29.0w86.0w630.0
2015wAfricaw5100wImport Quantityw539.0w2254.0w7.0w31.0w273.0w1404.0w4508.0
2015wAfricaw5100wProductionw6493.0w17911.0w1571.0w2931.0w1351.0w5565.0w35822.0
2016wAfricaw5100wExport Quantityw126.0w295.0w23.0w29.0w30.0w87.0w590.0
2016wAfricaw5100wImport Quantityw420.0w2234.0w5.0w28.0w244.0w1536.0w4467.0
2016wAfricaw5100wProductionw6528.0w18005.0w1589.0w2995.0w1403.0w5490.0w36010.0
2017wAfricaw5100wExport Quantityw117.0w303.0w33.0w34.0w32.0w86.0w605.0
2017wAfricaw5100wImport Quantityw404.0w2393.0w10.0w24.0w287.0w1668.0w4786.0
2017wAfricaw5100wProductionw6647.0w18576.0w1613.0w3014.0w1427.0w5875.0w37152.0
2018wAfricaw5100wExport Quantityw96.0w276.0w33.0w30.0w29.0w88.0w552.0
2018wAfricaw5100wImport Quantityw527.0w2550.0w12.0w22.0w243.0w1746.0w5100.0
2018wAfricaw5100wProductionw6925.0w19233.0w1640.0w3024.0w1542.0w6102.0w38466.0
1961wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1961wAlgeriaw4wImport Quantityw24.0w49.0w0.0w2.0w16.0w7.0w98.0
1961wAlgeriaw4wProductionw23.0w83.0w6.0w40.0w0.0w14.0w166.0
1962wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1962wAlgeriaw4wImport Quantityw18.0w30.0w0.0w1.0w7.0w4.0w60.0
1962wAlgeriaw4wProductionw21.0w80.0w6.0w38.0w0.0w16.0w161.0
1963wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1963wAlgeriaw4wImport Quantityw9.0w14.0w0.0w0.0w2.0w2.0w27.0
1963wAlgeriaw4wProductionw19.0w76.0w5.0w34.0w0.0w17.0w151.0
1964wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1964wAlgeriaw4wImport Quantityw6.0w9.0w0.0w0.0w2.0w1.0w18.0
1964wAlgeriaw4wProductionw21.0w82.0w6.0w38.0w0.0w18.0w165.0
1965wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1965wAlgeriaw4wImport Quantityw5.0w9.0w0.0w1.0w2.0w1.0w18.0
1965wAlgeriaw4wProductionw24.0w90.0w7.0w39.0w0.0w20.0w180.0
1966wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1966wAlgeriaw4wImport Quantityw5.0w7.0w0.0w0.0w2.0w0.0w14.0
1966wAlgeriaw4wProductionw25.0w92.0w7.0w38.0w0.0w22.0w184.0
1967wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1967wAlgeriaw4wImport Quantityw2.0w2.0w0.0w0.0w0.0w0.0w4.0
1967wAlgeriaw4wProductionw28.0w96.0w7.0w38.0w0.0w23.0w192.0
1968wAlgeriaw4wExport Quantityw0.0w0.0w0.0w0.0w0.0w0.0w0.0
1968wAlgeriaw4wImport Quantityw1.0w1.0w0.0w0.0w0.0w0.0w2.0
1968wAlgeriaw4wProductionw32.0w109.0w6.0w45.0w0.0w25.0w217.0
